round_id,hand_number,player_cards,dealer_cards,actions,bet_amount,final_result,blackjack,busted,strategy_used,bet_mode,true_count_prev_round,running_count_end,true_count_end,cards_remaining,decks_remaining
570,1,"9,K","Q,2,K",stand,10.0,win,False,False,random-dfs,fixed,0.0,-2.0,-0.006,156,3.0
570,1,"9,K,K","Q,2,8","double,stand",20.0,lose,False,True,random-dfs,fixed,0.0,-2.0,-0.006,156,3.0
571,1,"K,8,5","9,J","double,stand",20.0,lose,False,True,random-dfs,fixed,-0.333,-1.0,-0.003,152,2.923
571,1,"K,8","9,J",stand,10.0,lose,False,False,random-dfs,fixed,-0.333,-2.0,-0.006,152,2.923
571,1,"K,8,5","9,J",hit,10.0,lose,False,True,random-dfs,fixed,-0.333,-1.0,-0.003,152,2.923
572,1,"5,8,2","5,7,A,6","hit,stand",10.0,lose,False,False,random-dfs,fixed,-1.026,3.0,0.01,148,2.846
572,1,"5,8,2,A","5,7,6","hit,hit,stand",10.0,lose,False,False,random-dfs,fixed,-1.026,3.0,0.01,148,2.846
572,1,"5,8,2,A,6","5,7,5","hit,hit,hit",10.0,lose,False,True,random-dfs,fixed,-1.026,4.0,0.013,148,2.846
572,1,"5,8","5,7,2,A,6",stand,10.0,lose,False,False,random-dfs,fixed,-1.026,3.0,0.01,148,2.846
572,1,"5,8,2","5,7,A,6","double,stand",20.0,lose,False,False,random-dfs,fixed,-1.026,3.0,0.01,148,2.846
573,1,"2,A,8","6,5,10","hit,stand",10.0,push,False,False,random-dfs,fixed,-0.351,1.0,0.003,144,2.769
573,1,"2,A","6,5,8",stand,10.0,lose,False,False,random-dfs,fixed,-0.351,2.0,0.006,144,2.769
573,1,"2,A,8","6,5,10","double,stand",20.0,push,False,False,random-dfs,fixed,-0.351,1.0,0.003,144,2.769
574,1,"8,10,J","J,10","double,stand",20.0,lose,False,True,random-dfs,fixed,0.361,-4.0,-0.013,140,2.692
574,1,"8,10","J,10",stand,10.0,lose,False,False,random-dfs,fixed,0.361,-3.0,-0.01,140,2.692
574,1,"8,10,J","J,10",hit,10.0,lose,False,True,random-dfs,fixed,0.361,-4.0,-0.013,140,2.692
575,1,"J,6,7","3,6,Q",hit,10.0,lose,False,True,random-dfs,fixed,-0.743,1.0,0.003,136,2.615
575,1,"J,6,7","3,6,Q","double,stand",20.0,lose,False,True,random-dfs,fixed,-0.743,1.0,0.003,136,2.615
575,1,"J,6","3,6,7,Q",stand,10.0,win,False,False,random-dfs,fixed,-0.743,1.0,0.003,136,2.615
576,1,"7,Q,7","6,2,10","double,stand",20.0,lose,False,True,random-dfs,fixed,0.0,0.0,0.0,132,2.538
576,1,"7,Q,7","6,2,10",hit,10.0,lose,False,True,random-dfs,fixed,0.0,0.0,0.0,132,2.538
576,1,"7,Q","6,2,7,10",stand,10.0,win,False,False,random-dfs,fixed,0.0,0.0,0.0,132,2.538
577,1,"7,10,A","9,Q","double,stand",20.0,lose,False,False,random-dfs,fixed,0.394,-3.0,-0.01,128,2.462
577,1,"7,10","9,Q",stand,10.0,lose,False,False,random-dfs,fixed,0.394,-2.0,-0.006,128,2.462
577,1,"7,10,A","9,Q","hit,stand",10.0,lose,False,False,random-dfs,fixed,0.394,-3.0,-0.01,128,2.462
